sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
190,17185.00000000,41.08691017,0.00000000,1.58202787,0.00000000,0.30594980,0.00000000,5.92065423,0.00000000,
191,17283.00000000,39.55473064,0.00000000,1.54145284,0.00000000,0.27963289,0.00000000,5.86637003,0.00000000,
192,17374.00000000,39.67716299,0.00000000,1.61329885,0.00000000,0.28679577,0.00000000,5.33582135,0.00000000,
193,17466.00000000,40.86789947,0.00000000,1.58177870,0.00000000,0.29626696,0.00000000,5.71735012,0.00000000,
194,17555.00000000,37.58607301,0.00000000,1.57230389,0.00000000,0.30149880,0.00000000,6.20965186,0.00000000,
195,17645.00000000,40.84006046,0.00000000,1.55210471,0.00000000,0.30497727,0.00000000,5.38714756,0.00000000,
196,17733.00000000,37.88747482,0.00000000,1.62570071,0.00000000,0.31957772,0.00000000,5.84629326,0.00000000,
197,17821.00000000,39.33056207,0.00000000,1.65559332,0.00000000,0.30659267,0.00000000,5.28880855,0.00000000,
198,17915.00000000,36.40351792,0.00000000,1.60037865,0.00000000,0.32146063,0.00000000,5.86399362,0.00000000,
199,18006.00000000,39.17970438,0.00000000,1.54475791,0.00000000,0.32069443,0.00000000,6.83838301,0.00000000,
200,18096.00000000,37.34933294,0.00000000,1.62177370,0.00000000,0.31074317,0.00000000,5.75588877,0.00000000,
201,18185.00000000,39.21072107,0.00000000,1.64718810,0.00000000,0.32253716,0.00000000,6.09973145,0.00000000,
202,18279.00000000,37.26305738,0.00000000,1.58797776,0.00000000,0.31380538,0.00000000,6.35183405,0.00000000,
203,18371.00000000,40.43381131,0.00000000,1.62587634,0.00000000,0.31723901,0.00000000,6.26439843,0.00000000,
204,18461.00000000,40.31742459,0.00000000,1.65423055,0.00000000,0.31897890,0.00000000,6.29631237,0.00000000,
205,18555.00000000,40.35282312,0.00000000,1.64236297,0.00000000,0.31941701,0.00000000,5.59683678,0.00000000,
206,18647.00000000,40.21564896,0.00000000,1.67290051,0.00000000,0.31934772,0.00000000,5.58147246,0.00000000,
207,18736.00000000,40.26077382,0.00000000,1.69220004,0.00000000,0.33407399,0.00000000,5.24339472,0.00000000,
208,18826.00000000,40.09750788,0.00000000,1.74316482,0.00000000,0.32393776,0.00000000,5.77442265,0.00000000,
209,18918.00000000,40.03559863,0.00000000,1.66580211,0.00000000,0.33846771,0.00000000,6.58002834,0.00000000,
210,19009.00000000,35.97165412,0.00000000,1.68839307,0.00000000,0.33844811,0.00000000,6.67156847,0.00000000,
211,19100.00000000,40.06022266,0.00000000,1.67417271,0.00000000,0.32724477,0.00000000,6.38018749,0.00000000,
212,19190.00000000,39.99394758,0.00000000,1.69193552,0.00000000,0.33137330,0.00000000,5.90288399,0.00000000,
213,19279.00000000,39.85141896,0.00000000,1.71430852,0.00000000,0.34215225,0.00000000,5.58876623,0.00000000,
214,19369.00000000,39.85790087,0.00000000,1.77529055,0.00000000,0.34381910,0.00000000,5.91816643,0.00000000,
215,19459.00000000,36.56648163,0.00000000,1.75166979,0.00000000,0.34507384,0.00000000,6.31394784,0.00000000,
216,19550.00000000,39.69219753,0.00000000,1.71235316,0.00000000,0.32809052,0.00000000,5.81317167,0.00000000,
217,19643.00000000,39.62930883,0.00000000,1.72055710,0.00000000,0.34391025,0.00000000,6.61651643,0.00000000,
218,19735.00000000,39.55127632,0.00000000,1.66207727,0.00000000,0.33078225,0.00000000,5.58510844,0.00000000,
219,19827.00000000,39.54459985,0.00000000,1.72719981,0.00000000,0.34961659,0.00000000,6.07057317,0.00000000,
220,19919.00000000,39.47766295,0.00000000,1.81998590,0.00000000,0.34877622,0.00000000,5.82677293,0.00000000,
221,20011.00000000,39.49100935,0.00000000,1.71107154,0.00000000,0.34706131,0.00000000,5.90212282,0.00000000,
222,20102.00000000,36.40111831,0.00000000,1.73367050,0.00000000,0.35743603,0.00000000,5.65169532,0.00000000,
223,20191.00000000,39.37237255,0.00000000,1.82988685,0.00000000,0.36424033,0.00000000,5.76270081,0.00000000,
224,20283.00000000,39.33134905,0.00000000,1.82068928,0.00000000,0.36160969,0.00000000,5.86509916,0.00000000,
225,20372.00000000,39.18557133,0.00000000,1.73344243,0.00000000,0.35031745,0.00000000,5.65291000,0.00000000,
226,20461.00000000,39.21678709,0.00000000,1.74446052,0.00000000,0.35666521,0.00000000,6.55407093,0.00000000,
227,20551.00000000,36.43558899,0.00000000,1.77057596,0.00000000,0.35260502,0.00000000,6.29258434,0.00000000,
228,20640.00000000,36.13185799,0.00000000,1.76057830,0.00000000,0.36862326,0.00000000,7.27237301,0.00000000,
