0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
465,314.877,4.72772,96.3973,1252.3,15.0912,13.2231,7.20095,8.67997,9.68205,673.135,605.304,146.715,423.289,415.858,265.115,231.25,1722.17929,1425.154,1335.512,5988.85
470,312.989,4.29415,94.4031,1250.29,16.0633,13.667,7.20103,8.8557,9.33178,673.593,607.415,146.676,420.104,415.577,265.131,231.175,1717.09506,1427.684,1331.987,5987.59
475,316.679,4.74166,96.4584,1254.29,16.0792,13.8832,7.02048,9.14835,9.66191,670.812,602.159,146.575,420.862,415.114,265.114,230.866,1727.9622,1419.546,1331.956,5988.12
480,316.32,5.05891,98.2979,1254.93,15.2263,13.768,7.65565,9.36783,9.96989,670.294,602.821,146.407,422.277,414.858,264.807,230.766,1730.59448,1419.522,1332.708,5986.93
485,315.911,4.78986,98.4611,1255.3,15.8381,13.9112,7.11431,9.23865,10.1544,671.819,605.448,146.561,423.064,415.766,264.749,230.685,1730.71862,1423.828,1334.264,5990.32
490,315.222,4.63773,95.8542,1253.21,16.0896,13.5654,7.48945,9.51799,9.57473,672.124,606.16,146.177,420.711,415.166,264.854,230.67,1725.1611,1424.461,1331.401,5989.79
495,319.275,4.78748,98.5376,1256.97,16.0363,13.8257,7.5562,9.61684,10.3998,667.562,598.998,146.398,424.507,414.622,264.501,230.362,1737.00492,1412.958,1333.992,5986.53
500,319.564,5.16268,99.8746,1257.02,16.1823,14.2102,6.9688,9.69342,10.7092,667.801,598.9,146.299,426.483,414.826,264.128,230.291,1739.3852,1413,1335.728,5987.75
505,319.446,4.89,97.9563,1259.35,16.2001,13.8579,7.05476,9.33337,10.1905,668.656,601.013,146.278,423.072,415.088,264.099,230.196,1738.27893,1415.947,1332.455,5991.11
510,319.494,5.26025,99.9199,1262.53,16.1365,14.4691,7.2865,9.62785,10.4162,667.844,601.97,146.303,422.426,415.061,264.428,230.126,1745.1403,1416.117,1332.041,5992.03
515,319.714,5.24132,97.5901,1258.84,16.0631,14.5393,7.41439,9.34246,10.2679,668.415,601.649,146.288,422.561,414.985,264.442,230.107,1739.01257,1416.352,1332.095,5992.71
520,321.559,5.30351,101.351,1258.53,16.3417,14.0015,7.42109,9.89369,10.9124,667.204,597.021,145.986,426.363,414.627,263.887,230.023,1745.31389,1410.211,1334.9,5992.59
