#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(0.90286037,0.76790933)","",
133,132.00000000,252.97841547,0.00000000,0.00000000,0.00000000,174.47029660,0.00000000,15.17865357,0.00000000,
134,133.00000000,253.64657631,0.00000000,0.00000000,0.00000000,174.28010613,0.00000000,14.46271214,0.00000000,
135,134.00000000,252.78488604,0.00000000,0.00000000,0.00000000,174.46562723,0.00000000,15.46305887,0.00000000,
136,135.00000000,253.63623032,0.00000000,0.00000000,0.00000000,174.16370404,0.00000000,14.05079133,0.00000000,
137,136.00000000,253.08707615,0.00000000,0.00000000,0.00000000,173.52062953,0.00000000,13.44401927,0.00000000,
138,137.00000000,253.45229611,0.00000000,0.00000000,0.00000000,174.12699297,0.00000000,13.86903224,0.00000000,
139,138.00000000,252.44464493,0.00000000,0.00000000,0.00000000,174.03404945,0.00000000,14.06244190,0.00000000,
140,139.00000000,252.50927872,0.00000000,0.00000000,0.00000000,174.51459313,0.00000000,15.25832492,0.00000000,
141,140.00000000,252.78990313,0.00000000,0.00000000,0.00000000,174.38822173,0.00000000,15.15098467,0.00000000,
142,141.00000000,252.52304087,0.00000000,0.00000000,0.00000000,173.82727174,0.00000000,14.80335728,0.00000000,
143,142.00000000,252.08100824,0.00000000,0.00000000,0.00000000,173.90340402,0.00000000,15.26258122,0.00000000,
144,143.00000000,252.64834864,0.00000000,0.00000000,0.00000000,174.15922469,0.00000000,14.16587352,0.00000000,
145,144.00000000,251.74448924,0.00000000,0.00000000,0.00000000,173.70435282,0.00000000,15.20113943,0.00000000,
146,145.00000000,252.38902552,0.00000000,0.00000000,0.00000000,173.63891215,0.00000000,14.18516836,0.00000000,
147,146.00000000,252.02850335,0.00000000,0.00000000,0.00000000,173.76887990,0.00000000,14.88611477,0.00000000,
148,147.00000000,251.40306957,0.00000000,0.00000000,0.00000000,173.43828148,0.00000000,14.66611933,0.00000000,
149,148.00000000,251.86694283,0.00000000,0.00000000,0.00000000,173.72670853,0.00000000,14.80456230,0.00000000,
150,149.00000000,252.02577394,0.00000000,0.00000000,0.00000000,173.82069542,0.00000000,14.74113009,0.00000000,
151,150.00000000,251.73880118,0.00000000,0.00000000,0.00000000,173.69934681,0.00000000,14.68272499,0.00000000,
152,151.00000000,250.91757856,0.00000000,0.00000000,0.00000000,172.84443926,0.00000000,15.33806672,0.00000000,
153,152.00000000,251.01836557,0.00000000,0.00000000,0.00000000,172.94609804,0.00000000,14.85565137,0.00000000,
154,153.00000000,250.48970078,0.00000000,0.00000000,0.00000000,172.94132651,0.00000000,15.10315490,0.00000000,
155,154.00000000,250.86412532,0.00000000,0.00000000,0.00000000,173.08033502,0.00000000,14.83705441,0.00000000,
156,155.00000000,250.39494832,0.00000000,0.00000000,0.00000000,172.91474005,0.00000000,15.57934914,0.00000000,
157,156.00000000,250.42032100,0.00000000,0.00000000,0.00000000,172.84390298,0.00000000,15.14407519,0.00000000,
158,157.00000000,251.36722767,0.00000000,0.00000000,0.00000000,173.54868792,0.00000000,15.64962526,0.00000000,
159,158.00000000,250.34568338,0.00000000,0.00000000,0.00000000,173.85020425,0.00000000,16.77646256,0.00000000,
160,159.00000000,249.70604339,0.00000000,0.00000000,0.00000000,172.51135910,0.00000000,14.90409911,0.00000000,
161,160.00000000,250.52120796,0.00000000,0.00000000,0.00000000,172.76060114,0.00000000,15.36061436,0.00000000,
162,161.00000000,249.83596402,0.00000000,0.00000000,0.00000000,172.93881774,0.00000000,16.67368106,0.00000000,
163,162.00000000,248.50924880,0.00000000,0.00000000,0.00000000,171.95213193,0.00000000,15.92041105,0.00000000,
164,163.00000000,249.85322046,0.00000000,0.00000000,0.00000000,172.12180668,0.00000000,15.15550028,0.00000000,
165,164.00000000,249.80349310,0.00000000,0.00000000,0.00000000,171.82225328,0.00000000,15.59231677,0.00000000,
166,165.00000000,249.05113774,0.00000000,0.00000000,0.00000000,171.80551065,0.00000000,15.74953742,0.00000000,
167,166.00000000,249.22535942,0.00000000,0.00000000,0.00000000,172.62594102,0.00000000,15.96608549,0.00000000,
