ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
18371	0	0	108.589	0	0	0	38.7865	0	0	0	318.919	0	34.8504	0	
18461	0	0	109.013	0	0	0	39.284	0	0	0	319.973	0	34.7951	0	
18555	0	0	108.726	0	0	0	39.0863	0	0	0	318.362	0	35.1115	0	
18647	0	0	108.499	0	0	0	39.1971	0	0	0	320.534	0	35.0839	0	
18736	0	0	108.496	0	0	0	39.0962	0	0	0	318.061	0	35.0919	0	
18826	0	0	108.229	0	0	0	38.99	0	0	0	319.643	0	35.3085	0	
18918	0	0	108.135	0	0	0	39.033	0	0	0	319.263	0	35.4942	0	
19009	0	0	108.292	0	0	0	39.0814	0	0	0	318.503	0	35.5467	0	
19100	0	0	108.033	0	0	0	39.0189	0	0	0	318.495	0	35.4268	0	
19190	0	0	107.922	0	0	0	38.9231	0	0	0	317.366	0	35.7688	0	
19279	0	0	107.677	0	0	0	39.1758	0	0	0	320.301	0	35.702	0	
19369	0	0	107.659	0	0	0	39.0555	0	0	0	319.624	0	35.8671	0	
19459	0	0	107.674	0	0	0	39.4018	0	0	0	320.99	0	36.0602	0	
19550	0	0	107.317	0	0	0	38.7966	0	0	0	322.004	0	36.0236	0	
19643	0	0	107.491	0	0	0	39.2747	0	0	0	320.212	0	36.1392	0	
19735	0	0	107.077	0	0	0	39.1351	0	0	0	320.301	0	36.2197	0	
19827	0	0	107.26	0	0	0	39.3415	0	0	0	321.701	0	36.333	0	
19919	0	0	106.848	0	0	0	39.2284	0	0	0	318.197	0	36.2407	0	
20011	0	0	106.931	0	0	0	39.3014	0	0	0	320.79	0	36.4996	0	
20102	0	0	106.591	0	0	0	38.7442	0	0	0	318.536	0	36.4274	0	
20191	0	0	106.619	0	0	0	39.3482	0	0	0	317.461	0	36.4854	0	
20283	0	0	106.552	0	0	0	39.2628	0	0	0	320.718	0	36.6341	0	
20372	0	0	106.131	0	0	0	39.1305	0	0	0	320.29	0	36.7817	0	
20461	0	0	106.374	0	0	0	39.2607	0	0	0	321.26	0	36.9895	0	
20551	0	0	106.228	0	0	0	39.3481	0	0	0	320.794	0	36.8785	0	
20640	0	0	106.324	0	0	0	39.1199	0	0	0	319.857	0	36.9517	0	
20732	0	0	106.1	0	0	0	39.5367	0	0	0	320.036	0	37.0242	0	
20824	0	0	105.909	0	0	0	39.3906	0	0	0	320.303	0	37.1882	0	
20913	0	0	105.801	0	0	0	39.5233	0	0	0	320.584	0	37.3673	0	
21006	0	0	105.922	0	0	0	39.7817	0	0	0	323.128	0	37.5111	0	
21096	0	0	105.414	0	0	0	39.0416	0	0	0	319.043	0	37.4111	0	
21187	0	0	105.727	0	0	0	39.7658	0	0	0	321.368	0	37.4586	0	
21277	0	0	105.555	0	0	0	39.9693	0	0	0	324.513	0	37.8816	0	
21367	0	0	105.339	0	0	0	39.5761	0	0	0	321.405	0	37.9387	0	
21455	0	0	105.265	0	0	0	39.7476	0	0	0	322.144	0	37.8762	0	
21547	0	0	105.106	0	0	0	39.7198	0	0	0	321.221	0	37.7923	0	
21619	0	0	105.102	0	0	0	39.6888	0	0	0	321.995	0	38.023	0	
21718	0	0	105.931	0	0	0	41.1496	0	0	0	336.827	0	38.8142	0	
21810	0	0	104.926	0	0	0	39.7511	0	0	0	319.824	0	38.2996	0	
21902	0	0	104.775	0	0	0	39.984	0	0	0	321.388	0	38.2009	0	
21996	0	0	104.662	0	0	0	40.0617	0	0	0	325.022	0	38.5608	0	
22088	0	0	104.705	0	0	0	39.7701	0	0	0	320.506	0	38.3877	0	
22177	0	0	104.378	0	0	0	39.9465	0	0	0	323.26	0	38.5954	0	
22267	0	0	104.228	0	0	0	39.6514	0	0	0	319.992	0	38.5575	0	
22357	0	0	104.401	0	0	0	40.1369	0	0	0	323.68	0	38.5537	0	
22448	0	0	104.179	0	0	0	39.9001	0	0	0	321.891	0	38.6503	0	
