czas,sacharoza,alfa-glukoza,beta-glukoza,fruktoza,cale widmo
czas (s),"Integral(5.246521,5.185803)","Integral(5.056501,5.013715)","Integral(4.465992,4.419116)","Integral(3.805767,3.776692)","Integral(6.174450,1.387072)"
2370,27.6747,2.80341,0.77348,10.68,840.555
2375,27.6823,2.80645,0.743895,13.3015,858.694
2380,25.7814,2.81642,0.778335,10.2479,870.767
2385,24.1792,2.81167,0.802177,10.9154,812.561
2390,27.5834,2.86616,0.786185,10.8299,839.647
2395,26.527,2.83254,0.759986,10.1047,834.514
2400,24.0651,2.82107,0.799769,11.9912,850.338
2405,25.6628,2.83985,0.781636,11.164,838.471
2410,27.4545,2.89079,0.785416,12.1777,831.115
2415,27.3866,2.9097,0.759523,10.4365,820.539
2420,25.4716,2.88846,0.760509,10.7398,837.745
2425,27.3199,2.83848,0.756985,12.3142,752.63
2430,26.1503,2.90434,0.785245,10.7908,800.188
2435,27.2912,2.89493,0.789655,12.1345,792.053
2440,23.7694,2.84717,0.808062,12.1077,802.402
2445,25.3691,2.92291,0.795035,12.2951,855.027
2450,25.2179,2.84728,0.791183,10.9382,831.421
2455,25.3118,2.92637,0.795851,12.0386,833.504
2460,25.3629,2.96617,0.81246,12.5555,778.119
2465,26.9759,2.92758,0.77218,11.784,816.694
